lambda_physics,rmse,rmse_std,physics_error,physics_std
0.0,0.00085568261243896,0.00020065682119762676,0.2952630457778772,0.1262601600180215
1e-06,0.00094972360265422,0.00030964750213361184,0.36320255075891816,0.32047659004367773
3e-06,0.00077569978009376,0.0002171593554462306,0.24594348892569542,0.0589423769138161
1e-05,0.0007952646742705801,0.00021586428488088295,0.26424452687303224,0.13376003733407166
3e-05,0.00065079013476438,0.00017140685446030368,0.19194737225770947,0.022700005106233448
0.0001,0.00080662617382714,8.372593701456177e-05,0.22294850448767342,0.08029700914573909
0.0003,0.00071078602719046,0.00021279960483440658,0.1579734376321236,0.0396379885465435
0.001,0.0007943282691076599,0.0002926673438766961,0.13003988539179162,0.03197239904670144
0.003,0.0007877744252684799,9.422169209387787e-05,0.10581518784165378,0.011194040178178077
0.01,0.00079575479454198,0.00018532656882127893,0.07027877128372588,0.01918467881477511
0.03,0.00073473971467544,0.00021612411828264165,0.05639558006078001,0.030124585541002842
0.1,0.00090457153742086,0.0003081655170373628,0.057505243085324696,0.02925395770564708
1.0,0.00140750139663838,0.00022394412586818966,0.0569815804250538,0.023222742079675725
10.0,0.0035096144373818797,0.0003474906743846307,0.07817070117841159,0.03901631578862427
100.0,0.00490246195082238,0.0008453712481199344,0.11178719537953533,0.055526554005257196
